Time	Displacement	Forcewasher	Camera A	Camera B
sec	inches	lbf	mm	mm
0.0000E+0	 1.938E+0	 9.766E-1	-2.715E-1	-2.227E-1
2.0000E-5	 1.938E+0	 4.883E-1	-2.666E-1	-2.246E-1
4.0000E-5	 1.943E+0	 4.883E-1	-2.744E-1	-2.246E-1
6.0000E-5	 1.943E+0	 0.000E+0	-2.744E-1	-2.236E-1
8.0000E-5	 1.943E+0	 4.883E-1	-2.764E-1	-2.187E-1
1.0000E-4	 1.943E+0	 4.883E-1	-2.686E-1	-2.246E-1
1.2000E-4	 1.943E+0	 0.000E+0	-2.705E-1	-2.246E-1
1.4000E-4	 1.943E+0	 4.883E-1	-2.744E-1	-2.217E-1
1.6000E-4	 1.943E+0	 4.883E-1	-2.715E-1	-2.285E-1
1.8000E-4	 1.943E+0	 4.883E-1	-2.725E-1	-2.246E-1
2.0000E-4	 1.948E+0	 4.883E-1	-2.764E-1	-2.236E-1
2.2000E-4	 1.948E+0	 4.883E-1	-2.695E-1	-2.227E-1
2.4000E-4	 1.948E+0	 4.883E-1	-2.744E-1	-2.236E-1
2.6000E-4	 1.948E+0	 4.883E-1	-2.764E-1	-2.227E-1
2.8000E-4	 1.948E+0	 0.000E+0	-2.773E-1	-2.217E-1
3.0000E-4	 1.953E+0	 4.883E-1	-2.695E-1	-2.275E-1
3.2000E-4	 1.948E+0	 4.883E-1	-2.744E-1	-2.207E-1
3.4000E-4	 1.953E+0	 4.883E-1	-2.754E-1	-2.187E-1
3.6000E-4	 1.953E+0	 0.000E+0	-2.744E-1	-2.227E-1
3.8000E-4	 1.953E+0	 4.883E-1	-2.705E-1	-2.187E-1
4.0000E-4	 1.953E+0	 4.883E-1	-2.705E-1	-2.266E-1
4.2000E-4	 1.953E+0	 4.883E-1	-2.725E-1	-2.227E-1
4.4000E-4	 1.953E+0	 0.000E+0	-2.773E-1	-2.178E-1
4.6000E-4	 1.958E+0	 0.000E+0	-2.725E-1	-2.236E-1
4.8000E-4	 1.958E+0	 4.883E-1	-2.744E-1	-2.266E-1
5.0000E-4	 1.958E+0	 4.883E-1	-2.715E-1	-2.266E-1
5.2000E-4	 1.963E+0	 4.883E-1	-2.773E-1	-2.207E-1
5.4000E-4	 1.958E+0	 4.883E-1	-2.793E-1	-2.207E-1
5.6000E-4	 1.958E+0	 4.883E-1	-2.686E-1	-2.227E-1
5.8000E-4	 1.958E+0	 4.883E-1	-2.656E-1	-2.256E-1
6.0000E-4	 1.963E+0	 4.883E-1	-2.744E-1	-2.217E-1
6.2000E-4	 1.963E+0	 4.883E-1	-2.754E-1	-2.256E-1
6.4000E-4	 1.963E+0	 0.000E+0	-2.715E-1	-2.227E-1
6.6000E-4	 1.963E+0	 4.883E-1	-2.705E-1	-2.275E-1
6.8000E-4	 1.963E+0	 4.883E-1	-2.676E-1	-2.275E-1
7.0000E-4	 1.963E+0	 0.000E+0	-2.764E-1	-2.256E-1
7.2000E-4	 1.963E+0	 4.883E-1	-2.744E-1	-2.236E-1
7.4000E-4	 1.968E+0	 4.883E-1	-2.705E-1	-2.275E-1
