Time	Displacement	Forcewasher	Camera A	Camera B
sec	inches	lbf	mm	mm
1.6200E-3	 2.002E+0	-4.883E-1	-3.047E-1	-2.109E-1
1.6400E-3	 2.002E+0	 0.000E+0	-3.076E-1	-2.148E-1
1.6600E-3	 2.002E+0	 4.883E-1	-3.057E-1	-2.148E-1
1.6800E-3	 2.002E+0	 4.883E-1	-3.047E-1	-2.109E-1
1.7000E-3	 2.007E+0	 0.000E+0	-3.057E-1	-2.168E-1
1.7200E-3	 2.007E+0	 0.000E+0	-3.076E-1	-2.109E-1
1.7400E-3	 2.007E+0	 0.000E+0	-3.086E-1	-2.109E-1
1.7600E-3	 2.007E+0	 4.883E-1	-3.096E-1	-2.109E-1
1.7800E-3	 2.007E+0	 0.000E+0	-3.037E-1	-2.139E-1
1.8000E-3	 2.012E+0	-4.883E-1	-3.086E-1	-2.109E-1
1.8200E-3	 2.012E+0	 0.000E+0	-3.096E-1	-2.139E-1
1.8400E-3	 2.012E+0	 4.883E-1	-3.008E-1	-2.148E-1
1.8600E-3	 2.012E+0	 4.883E-1	-3.066E-1	-2.080E-1
1.8800E-3	 2.012E+0	 0.000E+0	-3.057E-1	-2.148E-1
1.9000E-3	 2.012E+0	 0.000E+0	-3.047E-1	-2.139E-1
1.9200E-3	 2.012E+0	 0.000E+0	-3.037E-1	-2.090E-1
1.9400E-3	 2.012E+0	 0.000E+0	-3.057E-1	-2.148E-1
1.9600E-3	 2.017E+0	 0.000E+0	-3.018E-1	-2.148E-1
1.9800E-3	 2.017E+0	 0.000E+0	-3.076E-1	-2.080E-1
2.0000E-3	 2.017E+0	 0.000E+0	-3.105E-1	-2.100E-1
2.0200E-3	 2.017E+0	 0.000E+0	-3.066E-1	-2.129E-1
2.0400E-3	 2.017E+0	 0.000E+0	-3.115E-1	-2.100E-1
2.0600E-3	 2.021E+0	 4.883E-1	-3.066E-1	-2.139E-1
2.0800E-3	 2.021E+0	 0.000E+0	-3.037E-1	-2.178E-1
2.1000E-3	 2.021E+0	 0.000E+0	-3.037E-1	-2.148E-1
2.1200E-3	 2.021E+0	-4.883E-1	-3.018E-1	-2.168E-1
2.1400E-3	 2.021E+0	 0.000E+0	-3.105E-1	-2.158E-1
2.1600E-3	 2.021E+0	 0.000E+0	-3.115E-1	-2.168E-1
2.1800E-3	 2.021E+0	 0.000E+0	-3.057E-1	-2.119E-1
2.2000E-3	 2.026E+0	 0.000E+0	-3.096E-1	-2.129E-1
2.2200E-3	 2.026E+0	 0.000E+0	-3.096E-1	-2.109E-1
2.2400E-3	 2.026E+0	 4.883E-1	-3.096E-1	-2.187E-1
2.2600E-3	 2.026E+0	 0.000E+0	-3.096E-1	-2.158E-1
2.2800E-3	 2.031E+0	 0.000E+0	-3.066E-1	-2.100E-1
2.3000E-3	 2.031E+0	 0.000E+0	-3.125E-1	-2.129E-1
2.3200E-3	 2.031E+0	 0.000E+0	-3.105E-1	-2.178E-1
2.3400E-3	 2.031E+0	 4.883E-1	-3.037E-1	-2.109E-1
2.3600E-3	 2.031E+0	 0.000E+0	-3.086E-1	-2.090E-1
2.3800E-3	 2.031E+0	 0.000E+0	-3.086E-1	-2.100E-1
2.4000E-3	 2.031E+0	 0.000E+0	-3.154E-1	-2.148E-1
2.4200E-3	 2.036E+0	 0.000E+0	-3.037E-1	-2.139E-1
2.4400E-3	 2.031E+0	 0.000E+0	-3.086E-1	-2.119E-1
2.4600E-3	 2.036E+0	 0.000E+0	-3.086E-1	-2.158E-1
2.4800E-3	 2.036E+0	 0.000E+0	-3.115E-1	-2.129E-1
2.5000E-3	 2.036E+0	 0.000E+0	-3.037E-1	-2.168E-1
2.5200E-3	 2.036E+0	 0.000E+0	-3.086E-1	-2.148E-1
2.5400E-3	 2.041E+0	 0.000E+0	-3.096E-1	-2.207E-1
2.5600E-3	 2.041E+0	 4.883E-1	-3.115E-1	-2.158E-1
2.5800E-3	 2.041E+0	 0.000E+0	-3.066E-1	-2.187E-1
2.6000E-3	 2.041E+0	 0.000E+0	-3.096E-1	-2.148E-1
2.6200E-3	 2.041E+0	 0.000E+0	-3.076E-1	-2.100E-1
2.6400E-3	 2.041E+0	 0.000E+0	-3.145E-1	-2.139E-1
2.6600E-3	 2.041E+0	 0.000E+0	-3.135E-1	-2.158E-1
2.6800E-3	 2.046E+0	 0.000E+0	-3.057E-1	-2.168E-1
2.7000E-3	 2.046E+0	 0.000E+0	-3.096E-1	-2.158E-1
2.7200E-3	 2.046E+0	 0.000E+0	-3.125E-1	-2.168E-1
2.7400E-3	 2.046E+0	 4.883E-1	-3.174E-1	-2.100E-1
2.7600E-3	 2.046E+0	 0.000E+0	-3.105E-1	-2.139E-1
2.7800E-3	 2.051E+0	 0.000E+0	-3.086E-1	-2.187E-1
2.8000E-3	 2.051E+0	-4.883E-1	-3.135E-1	-2.139E-1
2.8200E-3	 2.051E+0	 0.000E+0	-3.096E-1	-2.080E-1
2.8400E-3	 2.051E+0	 0.000E+0	-3.066E-1	-2.197E-1
2.8600E-3	 2.051E+0	 0.000E+0	-3.105E-1	-2.148E-1
2.8800E-3	 2.051E+0	 0.000E+0	-3.115E-1	-2.139E-1
2.9000E-3	 2.051E+0	-4.883E-1	-3.096E-1	-2.168E-1
2.9200E-3	 2.056E+0	 0.000E+0	-3.125E-1	-2.119E-1
2.9400E-3	 2.051E+0	 0.000E+0	-3.145E-1	-2.139E-1
2.9600E-3	 2.056E+0	 0.000E+0	-3.096E-1	-2.217E-1
2.9800E-3	 2.056E+0	 0.000E+0	-3.105E-1	-2.139E-1
3.0000E-3	 2.056E+0	 0.000E+0	-3.066E-1	-2.158E-1
3.0200E-3	 2.056E+0	-4.883E-1	-3.154E-1	-2.148E-1
3.0400E-3	 2.056E+0	 0.000E+0	-3.203E-1	-2.129E-1
3.0600E-3	 2.061E+0	 0.000E+0	-3.086E-1	-2.148E-1
3.0800E-3	 2.061E+0	 0.000E+0	-3.115E-1	-2.148E-1
3.1000E-3	 2.061E+0	 0.000E+0	-3.135E-1	-2.139E-1
3.1200E-3	 2.061E+0	 0.000E+0	-3.096E-1	-2.207E-1
3.1400E-3	 2.061E+0	 4.883E-1	-3.096E-1	-2.178E-1
3.1600E-3	 2.061E+0	 0.000E+0	-3.164E-1	-2.148E-1
3.1800E-3	 2.065E+0	 0.000E+0	-3.125E-1	-2.148E-1
3.2000E-3	 2.065E+0	 0.000E+0	-3.154E-1	-2.139E-1
3.2200E-3	 2.065E+0	 0.000E+0	-3.115E-1	-2.187E-1
3.2400E-3	 2.065E+0	 4.883E-1	-3.096E-1	-2.148E-1
3.2600E-3	 2.065E+0	 0.000E+0	-3.145E-1	-2.119E-1
3.2800E-3	 2.065E+0	 0.000E+0	-3.145E-1	-2.187E-1
3.3000E-3	 2.070E+0	 0.000E+0	-3.125E-1	-2.139E-1
3.3200E-3	 2.070E+0	 0.000E+0	-3.027E-1	-2.227E-1
3.3400E-3	 2.070E+0	 0.000E+0	-3.145E-1	-2.119E-1
3.3600E-3	 2.070E+0	 0.000E+0	-3.145E-1	-2.168E-1
3.3800E-3	 2.070E+0	 0.000E+0	-3.125E-1	-2.168E-1
3.4000E-3	 2.070E+0	-4.883E-1	-3.115E-1	-2.207E-1
3.4200E-3	 2.070E+0	 0.000E+0	-3.115E-1	-2.207E-1
3.4400E-3	 2.070E+0	 0.000E+0	-3.105E-1	-2.178E-1
3.4600E-3	 2.075E+0	 0.000E+0	-3.145E-1	-2.187E-1
3.4800E-3	 2.075E+0	 0.000E+0	-3.125E-1	-2.119E-1
3.5000E-3	 2.075E+0	 0.000E+0	-3.057E-1	-2.187E-1
3.5200E-3	 2.075E+0	 0.000E+0	-3.105E-1	-2.158E-1
3.5400E-3	 2.075E+0	 0.000E+0	-3.096E-1	-2.148E-1
3.5600E-3	 2.080E+0	 0.000E+0	-3.145E-1	-2.207E-1
3.5800E-3	 2.075E+0	 0.000E+0	-3.115E-1	-2.148E-1
3.6000E-3	 2.080E+0	 0.000E+0	-3.096E-1	-2.187E-1
3.6200E-3	 2.080E+0	 0.000E+0	-3.164E-1	-2.187E-1
3.6400E-3	 2.080E+0	 4.883E-1	-3.096E-1	-2.158E-1
3.6600E-3	 2.085E+0	 0.000E+0	-3.076E-1	-2.217E-1
3.6800E-3	 2.080E+0	 0.000E+0	-3.125E-1	-2.187E-1
3.7000E-3	 2.080E+0	 0.000E+0	-3.164E-1	-2.119E-1
