Time	Displacement	Forcewasher	Camera A	Camera B
sec	inches	lbf	mm	mm
0.0000E+0	 1.943E+0	 2.930E+0	-3.184E-1	-2.256E-1
2.0000E-5	 1.943E+0	 2.930E+0	-3.340E-1	-2.187E-1
4.0000E-5	 1.943E+0	 2.930E+0	-3.213E-1	-2.324E-1
6.0000E-5	 1.943E+0	 2.930E+0	-3.252E-1	-2.246E-1
8.0000E-5	 1.948E+0	 2.930E+0	-3.193E-1	-2.246E-1
1.0000E-4	 1.948E+0	 2.930E+0	-3.242E-1	-2.187E-1
1.2000E-4	 1.943E+0	 2.930E+0	-3.184E-1	-2.227E-1
1.4000E-4	 1.948E+0	 2.930E+0	-3.193E-1	-2.246E-1
1.6000E-4	 1.948E+0	 2.930E+0	-3.242E-1	-2.217E-1
1.8000E-4	 1.948E+0	 2.930E+0	-3.252E-1	-2.197E-1
2.0000E-4	 1.953E+0	 2.930E+0	-3.174E-1	-2.256E-1
2.2000E-4	 1.948E+0	 2.930E+0	-3.252E-1	-2.246E-1
2.4000E-4	 1.948E+0	 2.930E+0	-3.213E-1	-2.227E-1
2.6000E-4	 1.953E+0	 2.930E+0	-3.154E-1	-2.266E-1
2.8000E-4	 1.953E+0	 2.930E+0	-3.242E-1	-2.275E-1
3.0000E-4	 1.958E+0	 2.930E+0	-3.193E-1	-2.217E-1
3.2000E-4	 1.953E+0	 2.930E+0	-3.213E-1	-2.217E-1
3.4000E-4	 1.953E+0	 2.930E+0	-3.213E-1	-2.227E-1
3.6000E-4	 1.958E+0	 2.930E+0	-3.193E-1	-2.207E-1
3.8000E-4	 1.958E+0	 2.441E+0	-3.184E-1	-2.275E-1
4.0000E-4	 1.958E+0	 2.930E+0	-3.174E-1	-2.227E-1
4.2000E-4	 1.958E+0	 3.418E+0	-3.184E-1	-2.275E-1
4.4000E-4	 1.958E+0	 2.930E+0	-3.232E-1	-2.217E-1
4.6000E-4	 1.963E+0	 2.441E+0	-3.213E-1	-2.266E-1
4.8000E-4	 1.963E+0	 2.441E+0	-3.281E-1	-2.187E-1
5.0000E-4	 1.963E+0	 2.930E+0	-3.252E-1	-2.139E-1
5.2000E-4	 1.963E+0	 3.418E+0	-3.281E-1	-2.197E-1
5.4000E-4	 1.963E+0	 2.930E+0	-3.281E-1	-2.227E-1
5.6000E-4	 1.963E+0	 2.441E+0	-3.242E-1	-2.217E-1
5.8000E-4	 1.963E+0	 2.441E+0	-3.252E-1	-2.227E-1
6.0000E-4	 1.963E+0	 2.930E+0	-3.193E-1	-2.295E-1
6.2000E-4	 1.968E+0	 2.930E+0	-3.213E-1	-2.256E-1
6.4000E-4	 1.968E+0	 2.441E+0	-3.223E-1	-2.256E-1
6.6000E-4	 1.968E+0	 2.441E+0	-3.262E-1	-2.236E-1
6.8000E-4	 1.968E+0	 2.930E+0	-3.145E-1	-2.256E-1
7.0000E-4	 1.968E+0	 2.930E+0	-3.232E-1	-2.275E-1
7.2000E-4	 1.968E+0	 2.930E+0	-3.174E-1	-2.285E-1
7.4000E-4	 1.968E+0	 2.930E+0	-3.174E-1	-2.227E-1
7.6000E-4	 1.973E+0	 2.930E+0	-3.262E-1	-2.217E-1
7.8000E-4	 1.973E+0	 2.441E+0	-3.262E-1	-2.217E-1
8.0000E-4	 1.973E+0	 2.930E+0	-3.242E-1	-2.187E-1
8.2000E-4	 1.973E+0	 2.930E+0	-3.203E-1	-2.256E-1
8.4000E-4	 1.973E+0	 2.930E+0	-3.193E-1	-2.256E-1
8.6000E-4	 1.973E+0	 2.930E+0	-3.184E-1	-2.246E-1
8.8000E-4	 1.978E+0	 2.441E+0	-3.242E-1	-2.207E-1
9.0000E-4	 1.978E+0	 2.930E+0	-3.271E-1	-2.256E-1
9.2000E-4	 1.978E+0	 2.930E+0	-3.242E-1	-2.217E-1
9.4000E-4	 1.978E+0	 2.930E+0	-3.232E-1	-2.187E-1
9.6000E-4	 1.978E+0	 2.930E+0	-3.271E-1	-2.207E-1
9.8000E-4	 1.982E+0	 2.441E+0	-3.271E-1	-2.217E-1
1.0000E-3	 1.982E+0	 2.930E+0	-3.193E-1	-2.285E-1
1.0200E-3	 1.982E+0	 2.930E+0	-3.174E-1	-2.178E-1
1.0400E-3	 1.982E+0	 2.930E+0	-3.184E-1	-2.246E-1
1.0600E-3	 1.982E+0	 2.930E+0	-3.262E-1	-2.266E-1
1.0800E-3	 1.982E+0	 2.930E+0	-3.232E-1	-2.227E-1
1.1000E-3	 1.982E+0	 2.930E+0	-3.213E-1	-2.256E-1
1.1200E-3	 1.987E+0	 2.930E+0	-3.164E-1	-2.266E-1
1.1400E-3	 1.987E+0	 2.930E+0	-3.223E-1	-2.207E-1
1.1600E-3	 1.987E+0	 2.930E+0	-3.262E-1	-2.207E-1
1.1800E-3	 1.987E+0	 2.930E+0	-3.193E-1	-2.246E-1
1.2000E-3	 1.987E+0	 2.930E+0	-3.232E-1	-2.236E-1
1.2200E-3	 1.987E+0	 2.930E+0	-3.252E-1	-2.256E-1
1.2400E-3	 1.987E+0	 2.930E+0	-3.232E-1	-2.246E-1
1.2600E-3	 1.992E+0	 2.930E+0	-3.242E-1	-2.217E-1
1.2800E-3	 1.992E+0	 2.930E+0	-3.232E-1	-2.236E-1
1.3000E-3	 1.987E+0	 2.930E+0	-3.262E-1	-2.227E-1
1.3200E-3	 1.992E+0	 2.930E+0	-3.281E-1	-2.227E-1
1.3400E-3	 1.992E+0	 2.930E+0	-3.154E-1	-2.217E-1
1.3600E-3	 1.992E+0	 2.930E+0	-3.184E-1	-2.256E-1
1.3800E-3	 1.997E+0	 2.441E+0	-3.281E-1	-2.207E-1
1.4000E-3	 1.997E+0	 2.930E+0	-3.242E-1	-2.246E-1
1.4200E-3	 1.997E+0	 2.930E+0	-3.193E-1	-2.266E-1
1.4400E-3	 1.997E+0	 2.930E+0	-3.213E-1	-2.236E-1
1.4600E-3	 1.997E+0	 2.441E+0	-3.184E-1	-2.275E-1
1.4800E-3	 2.002E+0	 2.441E+0	-3.213E-1	-2.246E-1
1.5000E-3	 1.997E+0	 2.930E+0	-3.252E-1	-2.187E-1
1.5200E-3	 1.997E+0	 3.418E+0	-3.281E-1	-2.207E-1
1.5400E-3	 2.002E+0	 2.930E+0	-3.242E-1	-2.246E-1
1.5600E-3	 2.002E+0	 2.441E+0	-3.262E-1	-2.246E-1
1.5800E-3	 2.002E+0	 2.441E+0	-3.223E-1	-2.227E-1
1.6000E-3	 2.002E+0	 2.930E+0	-3.193E-1	-2.275E-1
1.6200E-3	 2.007E+0	 2.930E+0	-3.223E-1	-2.227E-1
1.6400E-3	 2.007E+0	 2.441E+0	-3.232E-1	-2.217E-1
1.6600E-3	 2.007E+0	 2.441E+0	-3.232E-1	-2.236E-1
1.6800E-3	 2.007E+0	 2.930E+0	-3.311E-1	-2.178E-1
1.7000E-3	 2.007E+0	 2.930E+0	-3.174E-1	-2.295E-1
1.7200E-3	 2.007E+0	 2.441E+0	-3.232E-1	-2.236E-1
1.7400E-3	 2.012E+0	 2.441E+0	-3.164E-1	-2.324E-1
1.7600E-3	 2.007E+0	 2.930E+0	-3.213E-1	-2.275E-1
1.7800E-3	 2.012E+0	 2.441E+0	-3.242E-1	-2.227E-1
1.8000E-3	 2.007E+0	 2.930E+0	-3.232E-1	-2.217E-1
1.8200E-3	 2.012E+0	 2.441E+0	-3.242E-1	-2.217E-1
1.8400E-3	 2.012E+0	 2.930E+0	-3.232E-1	-2.197E-1
1.8600E-3	 2.017E+0	 2.441E+0	-3.223E-1	-2.246E-1
1.8800E-3	 2.017E+0	 2.441E+0	-3.223E-1	-2.217E-1
1.9000E-3	 2.017E+0	 2.930E+0	-3.242E-1	-2.227E-1
1.9200E-3	 2.012E+0	 2.930E+0	-3.203E-1	-2.227E-1
1.9400E-3	 2.017E+0	 2.441E+0	-3.271E-1	-2.246E-1
1.9600E-3	 2.017E+0	 2.441E+0	-3.213E-1	-2.246E-1
1.9800E-3	 2.017E+0	 2.441E+0	-3.232E-1	-2.246E-1
2.0000E-3	 2.017E+0	 2.930E+0	-3.232E-1	-2.246E-1
2.0200E-3	 2.017E+0	 2.930E+0	-3.223E-1	-2.295E-1
2.0400E-3	 2.021E+0	 2.441E+0	-3.252E-1	-2.227E-1
