Time	Displacement	Forcewasher	Camera A	Camera B
sec	inches	lbf	mm	mm
0.0000E+0	 1.929E+0	 4.883E-1	-2.891E-1	-2.080E-1
2.0000E-5	 1.929E+0	 0.000E+0	-2.910E-1	-2.061E-1
4.0000E-5	 1.934E+0	 0.000E+0	-2.969E-1	-2.061E-1
6.0000E-5	 1.934E+0	 9.766E-1	-2.969E-1	-2.080E-1
8.0000E-5	 1.934E+0	 4.883E-1	-2.969E-1	-2.061E-1
1.0000E-4	 1.934E+0	 0.000E+0	-2.979E-1	-2.070E-1
1.2000E-4	 1.934E+0	 0.000E+0	-2.900E-1	-2.051E-1
1.4000E-4	 1.934E+0	 4.883E-1	-2.891E-1	-2.129E-1
1.6000E-4	 1.934E+0	 4.883E-1	-2.939E-1	-2.070E-1
1.8000E-4	 1.938E+0	 4.883E-1	-2.910E-1	-2.070E-1
2.0000E-4	 1.934E+0	 4.883E-1	-2.920E-1	-2.031E-1
2.2000E-4	 1.934E+0	 4.883E-1	-2.949E-1	-2.031E-1
2.4000E-4	 1.938E+0	 4.883E-1	-2.920E-1	-2.051E-1
2.6000E-4	 1.943E+0	 4.883E-1	-2.861E-1	-2.139E-1
2.8000E-4	 1.943E+0	 4.883E-1	-2.939E-1	-2.041E-1
3.0000E-4	 1.938E+0	 4.883E-1	-2.900E-1	-2.100E-1
3.2000E-4	 1.943E+0	 4.883E-1	-2.930E-1	-2.041E-1
3.4000E-4	 1.943E+0	 0.000E+0	-2.930E-1	-2.061E-1
3.6000E-4	 1.943E+0	 4.883E-1	-2.939E-1	-2.090E-1
3.8000E-4	 1.943E+0	 9.766E-1	-2.969E-1	-2.080E-1
4.0000E-4	 1.943E+0	 4.883E-1	-2.910E-1	-2.119E-1
4.2000E-4	 1.948E+0	 0.000E+0	-2.891E-1	-2.100E-1
4.4000E-4	 1.948E+0	 0.000E+0	-2.900E-1	-2.139E-1
4.6000E-4	 1.948E+0	 4.883E-1	-2.910E-1	-2.080E-1
4.8000E-4	 1.948E+0	 4.883E-1	-2.930E-1	-2.139E-1
5.0000E-4	 1.948E+0	 4.883E-1	-2.852E-1	-2.051E-1
5.2000E-4	 1.953E+0	 0.000E+0	-2.861E-1	-2.109E-1
5.4000E-4	 1.953E+0	 0.000E+0	-2.930E-1	-2.041E-1
5.6000E-4	 1.953E+0	 9.766E-1	-2.910E-1	-2.109E-1
5.8000E-4	 1.953E+0	 4.883E-1	-2.900E-1	-2.119E-1
6.0000E-4	 1.953E+0	 0.000E+0	-2.891E-1	-2.080E-1
6.2000E-4	 1.953E+0	 0.000E+0	-2.861E-1	-2.090E-1
6.4000E-4	 1.953E+0	 4.883E-1	-2.930E-1	-2.100E-1
6.6000E-4	 1.958E+0	 4.883E-1	-2.891E-1	-2.080E-1
6.8000E-4	 1.958E+0	 4.883E-1	-2.891E-1	-2.129E-1
7.0000E-4	 1.958E+0	 4.883E-1	-2.939E-1	-2.070E-1
7.2000E-4	 1.958E+0	 4.883E-1	-2.959E-1	-2.061E-1
7.4000E-4	 1.958E+0	 4.883E-1	-2.881E-1	-2.090E-1
7.6000E-4	 1.958E+0	 4.883E-1	-2.930E-1	-2.129E-1
7.8000E-4	 1.963E+0	 4.883E-1	-2.920E-1	-2.051E-1
8.0000E-4	 1.958E+0	 4.883E-1	-2.881E-1	-2.129E-1
8.2000E-4	 1.963E+0	 0.000E+0	-2.920E-1	-2.051E-1
8.4000E-4	 1.963E+0	 0.000E+0	-2.939E-1	-2.139E-1
8.6000E-4	 1.963E+0	 4.883E-1	-2.910E-1	-2.100E-1
8.8000E-4	 1.963E+0	 4.883E-1	-2.871E-1	-2.100E-1
9.0000E-4	 1.968E+0	 4.883E-1	-2.930E-1	-2.070E-1
9.2000E-4	 1.968E+0	 0.000E+0	-2.930E-1	-2.090E-1
9.4000E-4	 1.968E+0	 0.000E+0	-2.939E-1	-2.061E-1
9.6000E-4	 1.968E+0	 9.766E-1	-2.930E-1	-2.061E-1
9.8000E-4	 1.968E+0	 4.883E-1	-2.920E-1	-2.080E-1
1.0000E-3	 1.968E+0	 0.000E+0	-2.939E-1	-1.973E-1
1.0200E-3	 1.968E+0	 0.000E+0	-2.939E-1	-2.119E-1
1.0400E-3	 1.968E+0	 4.883E-1	-2.910E-1	-2.119E-1
1.0600E-3	 1.968E+0	 4.883E-1	-2.910E-1	-2.080E-1
1.0800E-3	 1.973E+0	 4.883E-1	-2.969E-1	-2.021E-1
1.1000E-3	 1.973E+0	 4.883E-1	-2.920E-1	-2.080E-1
1.1200E-3	 1.973E+0	 4.883E-1	-2.920E-1	-2.090E-1
1.1400E-3	 1.973E+0	 4.883E-1	-2.910E-1	-2.119E-1
1.1600E-3	 1.973E+0	 4.883E-1	-2.881E-1	-2.148E-1
1.1800E-3	 1.978E+0	 4.883E-1	-2.930E-1	-2.070E-1
1.2000E-3	 1.978E+0	 4.883E-1	-2.900E-1	-2.080E-1
1.2200E-3	 1.978E+0	 4.883E-1	-2.891E-1	-2.100E-1
1.2400E-3	 1.978E+0	 0.000E+0	-2.979E-1	-2.061E-1
1.2600E-3	 1.978E+0	 4.883E-1	-2.979E-1	-2.119E-1
1.2800E-3	 1.978E+0	 4.883E-1	-2.930E-1	-2.041E-1
1.3000E-3	 1.978E+0	 4.883E-1	-2.998E-1	-2.070E-1
1.3200E-3	 1.982E+0	 0.000E+0	-2.900E-1	-2.041E-1
1.3400E-3	 1.982E+0	 0.000E+0	-2.900E-1	-2.119E-1
1.3600E-3	 1.982E+0	 4.883E-1	-2.939E-1	-2.100E-1
1.3800E-3	 1.982E+0	 4.883E-1	-2.939E-1	-2.021E-1
1.4000E-3	 1.982E+0	 4.883E-1	-2.979E-1	-2.100E-1
